person_id;exercise;spo_base;heart_rate_base;SPO;heart_rate
4;4;99;89;-999;150
4;4;99;89;-999;150
4;4;99;89;-999;150
4;4;99;89;-999;150
4;4;99;89;-999;150
4;4;99;89;-999;150
4;4;99;89;-999;150
4;4;99;89;-999;150
4;4;99;89;-999;150
4;4;99;89;-999;150
4;4;99;89;-999;150
4;4;99;89;-999;150
4;4;99;89;-999;150
4;4;99;89;-999;150
4;4;99;89;-999;150
4;4;99;89;-999;150
4;4;99;89;-999;150
4;4;99;89;-999;88
4;4;99;89;-999;88
4;4;99;89;-999;88
4;4;99;89;-999;88
4;4;99;89;-999;88
4;4;99;89;-999;88
4;4;99;89;-999;88
4;4;99;89;-999;88
4;4;99;89;-999;88
4;4;99;89;-999;88
4;4;99;89;-999;88
4;4;99;89;-999;88
4;4;99;89;-999;88
4;4;99;89;-999;88
4;4;99;89;-999;88
4;4;99;89;-999;88
4;4;99;89;-999;88
4;4;99;89;-999;88
4;4;99;89;-999;88
4;4;99;89;-999;88
4;4;99;89;-999;88
4;4;99;89;-999;88
4;4;99;89;-999;88
4;4;99;89;-999;88
4;4;99;89;-999;88
4;4;99;89;98;68
4;4;99;89;98;68
4;4;99;89;98;68
4;4;99;89;98;68
4;4;99;89;98;68
4;4;99;89;98;68
4;4;99;89;98;68
4;4;99;89;98;68
4;4;99;89;98;68
4;4;99;89;98;68
4;4;99;89;98;68
4;4;99;89;98;68
4;4;99;89;98;68
4;4;99;89;98;68
4;4;99;89;98;68
4;4;99;89;98;68
4;4;99;89;98;68
4;4;99;89;98;68
4;4;99;89;98;68
4;4;99;89;98;68
4;4;99;89;98;68
4;4;99;89;98;68
4;4;99;89;98;68
4;4;99;89;98;68
4;4;99;89;98;68
4;4;99;89;98;93
4;4;99;89;98;93
4;4;99;89;98;93
4;4;99;89;98;93
4;4;99;89;98;93
4;4;99;89;98;93
4;4;99;89;98;93
4;4;99;89;98;93
4;4;99;89;98;93
4;4;99;89;98;93
4;4;99;89;98;93
4;4;99;89;98;93
4;4;99;89;98;93
4;4;99;89;98;93
4;4;99;89;98;93
4;4;99;89;98;93
4;4;99;89;98;93
4;4;99;89;98;93
4;4;99;89;98;93
4;4;99;89;98;93
4;4;99;89;98;93
4;4;99;89;98;93
4;4;99;89;98;93
4;4;99;89;98;93
4;4;99;89;98;93
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;98;115
4;4;99;89;98;115
4;4;99;89;98;115
4;4;99;89;98;115
4;4;99;89;98;115
4;4;99;89;98;115
4;4;99;89;98;115
4;4;99;89;98;115
4;4;99;89;98;115
4;4;99;89;98;115
4;4;99;89;98;115
4;4;99;89;98;115
4;4;99;89;98;115
4;4;99;89;98;115
4;4;99;89;98;115
4;4;99;89;98;115
4;4;99;89;98;115
4;4;99;89;98;115
4;4;99;89;98;115
4;4;99;89;98;115
4;4;99;89;98;115
4;4;99;89;98;115
4;4;99;89;98;115
4;4;99;89;98;115
4;4;99;89;98;115
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
4;4;99;89;97;100
