person_id;exercise;spo_base;heart_rate_base;SPO;heart_rate
2;5;99;90;96;75
2;5;99;90;96;75
2;5;99;90;96;75
2;5;99;90;96;75
2;5;99;90;96;75
2;5;99;90;96;75
2;5;99;90;96;75
2;5;99;90;96;75
2;5;99;90;96;75
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;125
2;5;99;90;96;125
2;5;99;90;96;125
2;5;99;90;96;125
2;5;99;90;96;125
2;5;99;90;96;125
2;5;99;90;96;125
2;5;99;90;96;125
2;5;99;90;96;125
2;5;99;90;96;125
2;5;99;90;96;125
2;5;99;90;96;125
2;5;99;90;96;125
2;5;99;90;96;125
2;5;99;90;96;125
2;5;99;90;96;125
2;5;99;90;96;125
2;5;99;90;96;125
2;5;99;90;96;125
2;5;99;90;96;125
2;5;99;90;96;125
2;5;99;90;96;125
2;5;99;90;96;125
2;5;99;90;96;125
2;5;99;90;96;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;125
2;5;99;90;-999;136
2;5;99;90;-999;136
2;5;99;90;-999;136
2;5;99;90;-999;136
2;5;99;90;-999;136
2;5;99;90;-999;136
2;5;99;90;-999;136
2;5;99;90;-999;136
2;5;99;90;-999;136
2;5;99;90;-999;136
2;5;99;90;-999;136
2;5;99;90;-999;136
2;5;99;90;-999;136
2;5;99;90;-999;136
2;5;99;90;-999;136
2;5;99;90;-999;136
2;5;99;90;-999;136
2;5;99;90;-999;136
2;5;99;90;-999;136
2;5;99;90;-999;136
2;5;99;90;-999;136
2;5;99;90;-999;136
2;5;99;90;-999;136
2;5;99;90;-999;136
2;5;99;90;-999;136
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;115
2;5;99;90;96;136
2;5;99;90;96;136
2;5;99;90;96;136
2;5;99;90;96;136
2;5;99;90;96;136
2;5;99;90;96;136
2;5;99;90;96;136
2;5;99;90;96;136
2;5;99;90;96;136
2;5;99;90;96;136
2;5;99;90;96;136
2;5;99;90;96;136
2;5;99;90;96;136
2;5;99;90;96;136
2;5;99;90;96;136
2;5;99;90;96;136
2;5;99;90;96;136
2;5;99;90;96;136
2;5;99;90;96;136
2;5;99;90;96;136
2;5;99;90;96;136
2;5;99;90;96;136
2;5;99;90;96;136
2;5;99;90;96;136
2;5;99;90;96;136
2;5;99;90;96;107
2;5;99;90;96;107
2;5;99;90;96;107
2;5;99;90;96;107
2;5;99;90;96;107
2;5;99;90;96;107
2;5;99;90;96;107
2;5;99;90;96;107
2;5;99;90;96;107
2;5;99;90;96;107
2;5;99;90;96;107
2;5;99;90;96;107
2;5;99;90;96;107
2;5;99;90;96;107
2;5;99;90;96;107
2;5;99;90;96;107
2;5;99;90;96;107
2;5;99;90;96;107
2;5;99;90;96;107
2;5;99;90;96;107
2;5;99;90;96;107
2;5;99;90;96;107
2;5;99;90;96;107
2;5;99;90;96;107
2;5;99;90;96;107
2;5;99;90;96;107
2;5;99;90;96;107
2;5;99;90;96;107
2;5;99;90;96;107
2;5;99;90;96;107
2;5;99;90;96;107
2;5;99;90;96;107
2;5;99;90;96;107
2;5;99;90;96;107
2;5;99;90;96;107
