person_id,exercise,spo_base,heart_rate_base,SPO,heart_rate
5,1,99,65,-999,166
5,1,99,65,-999,166
5,1,99,65,-999,166
5,1,99,65,-999,166
5,1,99,65,-999,166
5,1,99,65,-999,166
5,1,99,65,-999,166
5,1,99,65,-999,166
5,1,99,65,-999,166
5,1,99,65,-999,166
5,1,99,65,-999,166
5,1,99,65,-999,166
5,1,99,65,-999,166
5,1,99,65,-999,166
5,1,99,65,-999,166
5,1,99,65,-999,166
5,1,99,65,98,136
5,1,99,65,98,136
5,1,99,65,98,136
5,1,99,65,98,136
5,1,99,65,98,136
5,1,99,65,98,136
5,1,99,65,98,136
5,1,99,65,98,136
5,1,99,65,98,136
5,1,99,65,98,136
5,1,99,65,98,136
5,1,99,65,98,136
5,1,99,65,98,136
5,1,99,65,98,136
5,1,99,65,98,136
5,1,99,65,98,136
5,1,99,65,98,136
5,1,99,65,98,136
5,1,99,65,98,136
5,1,99,65,98,136
5,1,99,65,98,136
5,1,99,65,98,136
5,1,99,65,98,136
5,1,99,65,98,136
5,1,99,65,98,136
5,1,99,65,97,150
5,1,99,65,97,150
5,1,99,65,97,150
5,1,99,65,97,150
5,1,99,65,97,150
5,1,99,65,97,150
5,1,99,65,97,150
5,1,99,65,97,150
5,1,99,65,97,150
5,1,99,65,97,150
5,1,99,65,97,150
5,1,99,65,97,150
5,1,99,65,97,150
5,1,99,65,97,150
5,1,99,65,97,150
5,1,99,65,97,150
5,1,99,65,97,150
5,1,99,65,97,150
5,1,99,65,97,150
5,1,99,65,97,150
5,1,99,65,97,150
5,1,99,65,97,150
5,1,99,65,97,150
5,1,99,65,97,150
5,1,99,65,97,150
5,1,99,65,97,71
5,1,99,65,97,71
5,1,99,65,97,71
5,1,99,65,97,71
5,1,99,65,97,71
5,1,99,65,97,71
5,1,99,65,97,71
5,1,99,65,97,71
5,1,99,65,97,71
5,1,99,65,97,71
5,1,99,65,97,71
5,1,99,65,97,71
5,1,99,65,97,71
5,1,99,65,97,71
5,1,99,65,97,71
5,1,99,65,97,71
5,1,99,65,97,71
5,1,99,65,97,71
5,1,99,65,97,71
5,1,99,65,97,71
5,1,99,65,97,71
5,1,99,65,97,71
5,1,99,65,97,71
5,1,99,65,97,71
